"Location","Population","% ofworld","Date","Source (official or fromthe United Nations)"
"Cuba",9748007,0.001,2024-12-31,"Official estimate[107]"
"Hungary",9489000,0.001,2026-01-01,"Official estimate[108]"
"Austria",9219113,0.001,2026-01-01,"National quarterly estimate[109]"
"Belarus",9109280,0.001,2025-01-01,"Official estimate[110]"
"Switzerland",9104063,0.001,2025-09-30,"National quarterly estimate[111]"
"Sierra Leone",9077691,0.001,2025-07-01,"National annual projection[112]"
"Togo",8095498,0.001,2022-11-08,"2022 census result[113]"
"Laos",7647000,9e-04,2024-07-01,"National annual projection[114]"
"Hong Kong (China)",7510800,9e-04,2025-12-31,"National estimate[115]"
"Libya",7459000,9e-04,2025-07-01,"UN projection[116]"
"Kyrgyzstan",7281800,9e-04,2025-01-01,"Monthly national estimate[117]"
"Turkmenistan",7057841,9e-04,2022-12-17,"2022 census result[118]"
"Nicaragua",6874748,8e-04,2024-06-30,"Official estimate[119]"
"Serbia",6567783,8e-04,2025-01-01,"Official estimate[120]"
"Central African Republic",6470307,8e-04,2024-07-01,"National annual projection[121]"
"Bulgaria",6437360,8e-04,2024-12-31,"Official estimate[122]"
"Congo",6142180,7e-04,2023-05-17,"2023 census result[123]"
"Singapore",6110200,7e-04,2025-06-30,"National annual projection[124]"
"Paraguay",6109644,7e-04,2022-11-09,"2022 census result[125]"
"El Salvador",6029976,7e-04,2024-05-02,"2024 census result[126]"
"Denmark",6028459,7e-04,2026-02-01,"Monthly national estimate[127]"
"Finland",5657608,7e-04,2026-02-01,"Monthly national estimate[128]"
"Norway",5627400,7e-04,2025-12-31,"National quarterly estimate[129]"
"Lebanon",5490000,7e-04,2021-07-01,"Official estimate[130]"
"Palestine",5483450,7e-04,2023-01-01,"National annual projection[131]"
"Ireland",5458600,7e-04,2025-04-01,"National estimate[132]"
"Slovakia",5413191,7e-04,2025-09-30,"National quarterly estimate[133]"
"Oman",5359557,7e-04,2025-12-31,"Monthly national estimate[134]"
"New Zealand",5342000,6e-04,2025-12-31,"National quarterly estimate[135]"
"Liberia",5248621,6e-04,2022-11-10,"2022 census result[136]"
"Costa Rica",5191824,6e-04,2025-06-30,"National annual projection[137]"
"Mauritania",4927532,6e-04,2023-12-25,"2023 census result[138]"
"Kuwait",4881254,6e-04,2025-01-01,"Official estimate[139]"
"Panama",4064780,5e-04,2023-01-08,"2023 census result[140]"
"Croatia",3866233,5e-04,2024-07-01,"Official estimate[141]"
"Georgia",3704500,4e-04,2025-01-01,"Official estimate[142]"
"Eritrea",3607000,4e-04,2025-07-01,"UN projection[116] (see note)"
"Mongolia",3544835,4e-04,2024-12-31,"National annual projection[149]"
"Uruguay",3485931,4e-04,2025-06-30,"National annual projection[150]"
"Bosnia and Herzegovina",3412000,4e-04,2024-07-01,"Official estimate[151]"
"Qatar",3214609,4e-04,2025-12-31,"Monthly national estimate[152]"
"Puerto Rico (US)",3184195,4e-04,2025-07-01,"Annual projection[153]"
"Armenia",3076200,4e-04,2025-01-01,"Official estimate[154]"
"Namibia",3022401,4e-04,2023-09-24,"2023 Census[155]"
"Lithuania",2886000,4e-04,2026-03-01,"Monthly national estimate[156]"
"Jamaica",2774538,3e-04,2022-09-12,"2022 census result[157]"
"Gabon",2469296,3e-04,2025-07-01,"National annual projection[158]"
"Gambia",2422712,3e-04,2024-05-01,"Preliminary census results[159]"
"Moldova",2381300,3e-04,2025-01-01,"Official estimate[160]"
"Albania",2363314,3e-04,2025-01-01,"Official estimate[161]"
"Botswana",2359609,3e-04,2022-03-18,"2022 census result[162]"
"Slovenia",2133852,3e-04,2025-10-01,"National quarterly estimate[163]"
"Lesotho",2116427,3e-04,2024-01-01,"Official survey[164]"
"Guinea-Bissau",1852784,2e-04,2025-07-01,"National annual projection[165]"
"Latvia",1823500,2e-04,2026-01-01,"Monthly national estimate[166]"
"North Macedonia",1822612,2e-04,2024-12-31,"Official estimate[167]"
"Equatorial Guinea",1668768,2e-04,2024-07-01,"Official estimate[168]"
"Bahrain",1594654,2e-04,2024-12-31,"Official estimate[169]"
"Kosovo",1585566,2e-04,2024-04-04,"2024 national census[170]"
"Timor-Leste",1391221,2e-04,2025-07-01,"National annual projection[171]"
"Trinidad and Tobago",1367764,2e-04,2025-06-30,"Official estimate[172]"
"Estonia",1362954,2e-04,2026-01-01,"Official estimate[173]"
"Mauritius",1241856,2e-04,2025-12-31,"National estimate[174]"
"Eswatini",1235549,2e-04,2024-07-01,"Official projection[175]"
